PDOid,PDOnam,Administrative_Region,Wine_Region,Designation_Level,min_row_spacing,max_row_spacing,min_plant_spacing,max_plant_spacing,max_area,source,notes
PDO-FR-A0333,Alsace Grand Cru Marckrain,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4121,
PDO-FR-A0383,Alsace Grand Cru Moenchberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4122,
PDO-FR-A0417,Alsace Grand Cru Muenchberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4123,
PDO-FR-A0413,Alsace Grand Cru Ollwiller,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4124,
PDO-FR-A0412,Alsace Grand Cru Osterberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4125,
PDO-FR-A0374,Alsace Grand Cru Pfersigberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4126,
PDO-FR-A0387,Alsace Grand Cru Pfingstberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4127,
PDO-FR-A0381,Alsace Grand Cru Praelatenberg,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4128,
PDO-FR-A0386,Alsace Grand Cru Rangen,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4129,
PDO-FR-A0341,Alsace Grand Cru Rosacker,Grand Est,Alsace,Grand Cru,NULL,2,0.75,1.5,NULL,https://ec.europa.eu/geographical-indications-register/eambrosia-public-api/api/v1/attachments/4130,
