IDU,row_spacing,plant_spacing,rmse,points_expected,points_found,area_missing_pct
072450000D0183,2.4,0.6,0.857,918.0,784.0,14.6
072450000D0396,1.9,0.7,1.093,331.0,224.0,32.33
072450000D0441,1.8,0.9,0.944,324.0,280.0,13.58
072450000D0827,1.0,0.5,0.758,10117.0,9523.0,5.87
072450000D0909,1.7,0.7,1.185,167.0,101.0,39.52
07245000AB0109,2.3,0.5,0.673,2547.0,2419.0,5.03
07245000AI0079,1.6,0.6,0.997,1630.0,1385.0,15.03
07245000AI0133,2.2,0.7,0.961,880.0,729.0,17.16
07245000AK0088,,,,,,
07245000AS0136,2.4,0.6,0.689,1265.0,1196.0,5.45
07245000AT0076,2.5,0.7,0.9,2352.0,1920.0,18.37
07245000AT0144,2.4,0.6,0.772,736.0,698.0,5.16
07255000ZA0020,1.7,0.8,1.123,393.0,278.0,29.26
07255000ZA0195,2.2,0.8,1.11,16495.0,12040.0,27.01
07255000ZB0066,1.9,0.8,1.01,9826.0,8107.0,17.49
07255000ZK0399,2.1,0.8,1.144,13991.0,9538.0,31.83
072590000A0035,2.2,0.8,1.146,2642.0,1731.0,34.48
072590000A0235,2.4,1.2,1.258,1201.0,639.0,46.79
072590000A0554,1.1,0.8,0.999,8784.0,7314.0,16.73
072590000A0555,2.3,1.0,1.139,1133.0,735.0,35.13
072590000A1132,2.1,0.9,1.135,1055.0,684.0,35.17
072590000A1171,2.1,1.2,1.329,413.0,154.0,62.71
072590000A1548,2.5,0.8,1.158,5854.0,3961.0,32.34
072590000B0073,2.3,1.1,1.203,779.0,457.0,41.34
072590000B0077,2.3,0.8,1.161,3762.0,2323.0,38.25
072590000B0093,1.3,0.8,1.093,4201.0,3211.0,23.57
072590000B0182,2.4,1.2,1.237,758.0,361.0,52.37
072590000B0189,2.2,0.8,1.015,1330.0,966.0,27.37
072590000B0211,2.1,0.8,1.169,3535.0,2372.0,32.9
072590000B0400,2.2,1.1,1.126,1342.0,804.0,40.09
072590000B0532,2.3,0.8,1.113,1601.0,958.0,40.16
072590000B0590,2.5,0.8,0.962,7264.0,6471.0,10.92
